timestamp,rollout_id,steps,env_instances_avg,total_actions,waypoint_s,env_call_at_s,navigation_s,env_step_s,tracked_total_s,rollout_total_s,waypoint_pct,env_call_at_pct,navigation_pct,env_step_pct,call_at_requests
2026-03-20 19:42:21,38,15,4.000,60,0.887688,0.435501,5.304703,0.740138,7.368030,7.649190,12.05,5.91,72.00,10.05,279
2026-03-20 19:42:28,39,15,4.000,60,0.820440,0.412377,4.997623,0.698452,6.928892,7.199309,11.84,5.95,72.13,10.08,279
2026-03-20 19:42:36,40,15,4.000,60,0.815312,0.439379,4.900785,0.703228,6.858705,7.115699,11.89,6.41,71.45,10.25,282
2026-03-20 19:42:43,41,15,4.000,60,0.857404,0.444236,4.714871,0.703474,6.719985,7.019777,12.76,6.61,70.16,10.47,275
2026-03-20 19:42:51,42,15,4.000,60,0.821649,0.454128,5.161005,0.714213,7.150995,7.427507,11.49,6.35,72.17,9.99,285
2026-03-20 19:42:58,43,15,4.000,60,0.823240,0.449126,5.003510,0.699478,6.975354,7.252284,11.80,6.44,71.73,10.03,285
2026-03-20 19:43:06,44,15,4.000,60,0.844952,0.377673,5.225724,0.716224,7.164574,7.467731,11.79,5.27,72.94,10.00,273
2026-03-20 19:43:14,45,15,4.000,60,0.879042,0.380409,5.121874,0.742982,7.124307,7.408726,12.34,5.34,71.89,10.43,270
2026-03-20 19:43:21,46,15,4.000,60,0.866503,0.378207,4.966066,0.725725,6.936500,7.218516,12.49,5.45,71.59,10.46,278
2026-03-20 19:43:29,47,15,4.000,60,0.898586,0.416566,5.210938,0.755888,7.281978,7.575269,12.34,5.72,71.56,10.38,274
2026-03-20 19:43:37,48,15,4.000,60,0.875857,0.447534,5.364599,0.719539,7.407529,7.726215,11.82,6.04,72.42,9.71,275
2026-03-20 19:43:44,49,15,4.000,60,0.855358,0.367886,4.710470,0.723660,6.657375,6.910450,12.85,5.53,70.76,10.87,276
2026-03-20 19:43:51,50,15,4.000,60,0.826003,0.394044,4.797261,0.702075,6.719384,6.993239,12.29,5.86,71.39,10.45,272
2026-03-20 19:43:59,51,15,4.000,60,0.880434,0.383853,5.217531,0.760491,7.242310,7.546181,12.16,5.30,72.04,10.50,275
2026-03-20 19:44:07,52,15,4.000,60,0.849047,0.537834,5.013023,0.782536,7.182439,7.599402,11.82,7.49,69.80,10.90,280
2026-03-20 19:44:15,53,15,4.000,60,0.847944,0.381683,4.994548,0.710374,6.934549,7.211154,12.23,5.50,72.02,10.24,272
2026-03-20 19:44:22,54,15,4.000,60,0.850456,0.410377,5.335468,0.706640,7.302941,7.599398,11.65,5.62,73.06,9.68,279
2026-03-20 19:44:30,55,15,4.000,60,0.871661,0.396330,5.256970,0.728614,7.253575,7.517620,12.02,5.46,72.47,10.04,279
2026-03-20 19:44:38,56,15,4.000,60,0.868020,0.406189,5.347679,0.725610,7.347497,7.642428,11.81,5.53,72.78,9.88,270
2026-03-20 19:44:46,57,15,4.000,60,0.844730,0.417545,4.791490,0.702621,6.756386,7.037931,12.50,6.18,70.92,10.40,273
2026-03-20 19:44:53,58,15,4.000,60,0.858906,0.428453,5.201701,0.725359,7.214419,7.489988,11.91,5.94,72.10,10.05,276
2026-03-20 19:45:06,59,15,4.000,60,0.857526,0.412494,5.195816,0.732883,7.198719,12.564675,11.91,5.73,72.18,10.18,280
2026-03-20 19:45:14,60,15,4.000,60,0.847094,0.410678,5.234666,0.745470,7.237907,7.533938,11.70,5.67,72.32,10.30,281
2026-03-20 19:45:21,61,15,4.000,60,0.839320,0.396643,4.785256,0.724351,6.745570,6.999309,12.44,5.88,70.94,10.74,274
2026-03-20 19:45:29,62,15,4.000,60,0.848861,0.457398,5.302662,0.723167,7.332087,7.599914,11.58,6.24,72.32,9.86,283
2026-03-20 19:45:37,63,15,4.000,60,0.847522,0.405299,5.193568,0.725714,7.172103,7.455972,11.82,5.65,72.41,10.12,278
2026-03-20 19:45:45,64,15,4.000,60,0.858527,0.408217,5.400465,0.723507,7.390716,7.645045,11.62,5.52,73.07,9.79,281
2026-03-20 19:45:52,65,15,4.000,60,0.831122,0.408346,5.124899,0.722147,7.086514,7.383589,11.73,5.76,72.32,10.19,279
2026-03-20 19:46:00,66,15,4.000,60,0.854003,0.433369,5.217244,0.746518,7.251135,7.542148,11.78,5.98,71.95,10.30,277
2026-03-20 19:46:08,67,15,4.000,60,0.854112,0.396659,5.012807,0.733921,6.997499,7.315013,12.21,5.67,71.64,10.49,276
2026-03-20 19:46:16,68,15,4.000,60,0.917481,0.418590,5.705895,0.765385,7.807350,8.091510,11.75,5.36,73.08,9.80,278
2026-03-20 19:46:25,69,15,4.000,60,0.950181,0.412289,5.719246,0.786980,7.868697,8.145986,12.08,5.24,72.68,10.00,277
2026-03-20 19:46:33,70,15,4.000,60,0.942246,0.491097,5.447578,0.799392,7.680313,7.923011,12.27,6.39,70.93,10.41,284
2026-03-20 19:46:42,71,15,4.000,60,0.955915,0.439830,5.940267,0.800273,8.136285,8.441470,11.75,5.41,73.01,9.84,277
2026-03-20 19:47:11,72,15,4.000,60,0.944673,0.422439,7.851596,2.053775,11.272483,28.647441,8.38,3.75,69.65,18.22,278
2026-03-20 19:47:39,73,15,4.000,60,0.965477,0.427577,15.140262,10.583444,27.116760,27.823226,3.56,1.58,55.83,39.03,277
2026-03-20 19:48:01,74,15,4.000,60,0.962854,0.387014,13.979763,5.296428,20.626059,21.273248,4.67,1.88,67.78,25.68,277
2026-03-20 19:48:25,75,15,4.000,60,0.974446,0.403620,13.908891,7.145369,22.432326,23.058911,4.34,1.80,62.00,31.85,272
2026-03-20 19:48:48,76,15,4.000,60,0.942325,0.412370,13.326802,6.280479,20.961977,22.533151,4.50,1.97,63.58,29.96,272
2026-03-20 19:49:10,77,15,4.000,60,0.950452,0.446595,13.780145,5.260879,20.438072,21.082756,4.65,2.19,67.42,25.74,274
2026-03-20 19:49:38,78,15,4.000,60,0.986106,0.540380,18.954991,6.003002,26.484479,27.215168,3.72,2.04,71.57,22.67,276
2026-03-20 19:50:00,79,15,4.000,60,0.961523,0.456052,14.053882,5.900355,21.371813,22.039789,4.50,2.13,65.76,27.61,280
2026-03-20 19:50:23,80,15,4.000,60,0.948608,0.426421,15.116323,5.068941,21.560293,22.216591,4.40,1.98,70.11,23.51,279
2026-03-20 19:50:47,81,15,4.000,60,0.952296,0.422524,14.986862,6.707493,23.069174,23.723994,4.13,1.83,64.96,29.08,286
2026-03-20 19:51:17,82,15,4.000,60,0.997395,0.537071,17.469211,8.948130,27.951807,28.756677,3.57,1.92,62.50,32.01,278
